timestamp,peripheral,event,details
2025-11-27T09:20:31.255,mouse,move,"695, 639"
2025-11-27T09:20:31.256,mouse,move,"706, 624"
2025-11-27T09:20:31.272,mouse,move,"720, 608"
2025-11-27T09:20:31.272,mouse,move,"733, 596"
2025-11-27T09:20:31.288,mouse,move,"742, 585"
2025-11-27T09:20:31.304,mouse,move,"753, 575"
2025-11-27T09:20:31.315,mouse,move,"763, 566"
2025-11-27T09:20:31.320,mouse,move,"770, 560"
2025-11-27T09:20:31.334,mouse,move,"778, 553"
2025-11-27T09:20:31.336,mouse,move,"784, 550"
2025-11-27T09:20:31.355,mouse,move,"790, 546"
2025-11-27T09:20:31.355,mouse,move,"795, 545"
2025-11-27T09:20:31.374,mouse,move,"801, 543"
2025-11-27T09:20:31.384,mouse,move,"806, 543"
2025-11-27T09:20:31.384,mouse,move,"813, 542"
2025-11-27T09:20:31.403,mouse,move,"822, 540"
2025-11-27T09:20:31.403,mouse,move,"830, 540"
2025-11-27T09:20:31.415,mouse,move,"842, 539"
2025-11-27T09:20:31.431,mouse,move,"854, 538"
2025-11-27T09:20:31.442,mouse,move,"867, 538"
2025-11-27T09:20:31.447,mouse,move,"880, 538"
2025-11-27T09:20:31.462,mouse,move,"890, 539"
2025-11-27T09:20:31.465,mouse,move,"899, 542"
2025-11-27T09:20:31.484,mouse,move,"905, 543"
2025-11-27T09:20:31.494,mouse,move,"906, 544"
2025-11-27T09:20:31.496,mouse,move,"908, 545"
2025-11-27T09:20:31.852,mouse,move,"952, 562"
2025-11-27T09:20:31.863,mouse,move,"1015, 592"
2025-11-27T09:20:31.865,mouse,move,"1065, 621"
2025-11-27T09:20:31.881,mouse,move,"1094, 637"
2025-11-27T09:20:31.892,mouse,move,"1114, 648"
2025-11-27T09:20:31.903,mouse,move,"1125, 654"
2025-11-27T09:20:31.911,mouse,move,"1132, 655"
2025-11-27T09:20:32.130,mouse,move,"1138, 675"
2025-11-27T09:20:32.142,mouse,move,"1160, 730"
2025-11-27T09:20:32.146,mouse,move,"1177, 772"
2025-11-27T09:20:32.162,mouse,move,"1190, 798"
2025-11-27T09:20:32.169,mouse,move,"1197, 808"
2025-11-27T09:20:32.180,mouse,move,"1202, 817"
2025-11-27T09:20:32.184,mouse,move,"1207, 823"
2025-11-27T09:20:32.196,mouse,move,"1213, 830"
2025-11-27T09:20:32.212,mouse,move,"1218, 837"
2025-11-27T09:20:32.220,mouse,move,"1223, 843"
2025-11-27T09:20:32.232,mouse,move,"1229, 851"
2025-11-27T09:20:32.242,mouse,move,"1234, 857"
2025-11-27T09:20:32.251,mouse,move,"1237, 861"
2025-11-27T09:20:32.522,mouse,move,"1251, 859"
2025-11-27T09:20:32.533,mouse,move,"1269, 850"
2025-11-27T09:20:32.542,mouse,move,"1293, 834"
2025-11-27T09:20:32.552,mouse,move,"1308, 820"
2025-11-27T09:20:32.562,mouse,move,"1323, 802"
2025-11-27T09:20:32.573,mouse,move,"1333, 782"
2025-11-27T09:20:32.581,mouse,move,"1338, 769"
2025-11-27T09:20:32.590,mouse,move,"1343, 752"
2025-11-27T09:20:32.590,mouse,move,"1345, 740"
2025-11-27T09:20:32.604,mouse,move,"1347, 731"
2025-11-27T09:20:32.622,mouse,move,"1347, 726"
2025-11-27T09:20:32.625,mouse,move,"1348, 723"
2025-11-27T09:20:32.640,mouse,move,"1348, 722"
2025-11-27T09:20:32.652,mouse,move,"1348, 721"
2025-11-27T09:20:32.669,mouse,move,"1348, 720"
2025-11-27T09:20:32.795,keyboard,press,Key.alt_l
2025-11-27T09:20:33.017,keyboard,press,Key.tab
2025-11-27T09:20:33.113,keyboard,release,Key.tab
2025-11-27T09:20:34.097,keyboard,press,Key.tab
2025-11-27T09:20:34.228,keyboard,release,Key.tab
2025-11-27T09:20:34.438,keyboard,release,Key.alt_l
2025-11-27T09:20:35.198,mouse,move,"1330, 708"
2025-11-27T09:20:35.207,mouse,move,"1289, 681"
2025-11-27T09:20:35.218,mouse,move,"1257, 665"
2025-11-27T09:20:35.228,mouse,move,"1228, 654"
2025-11-27T09:20:35.238,mouse,move,"1207, 645"
2025-11-27T09:20:35.247,mouse,move,"1185, 637"
2025-11-27T09:20:35.255,mouse,move,"1167, 629"
2025-11-27T09:20:35.263,mouse,move,"1147, 618"
2025-11-27T09:20:35.279,mouse,move,"1129, 605"
2025-11-27T09:20:35.281,mouse,move,"1114, 587"
2025-11-27T09:20:35.298,mouse,move,"1103, 567"
2025-11-27T09:20:35.300,mouse,move,"1096, 551"
2025-11-27T09:20:35.318,mouse,move,"1092, 539"
2025-11-27T09:20:35.326,mouse,move,"1089, 532"
2025-11-27T09:20:35.532,mouse,move,"1101, 497"
2025-11-27T09:20:35.547,mouse,move,"1142, 405"
2025-11-27T09:20:35.550,mouse,move,"1194, 311"
2025-11-27T09:20:35.563,mouse,move,"1246, 227"
2025-11-27T09:20:35.577,mouse,move,"1306, 146"
2025-11-27T09:20:35.580,mouse,move,"1360, 83"
2025-11-27T09:20:35.597,mouse,move,"1420, 24"
2025-11-27T09:20:35.601,mouse,move,"1475, -24"
2025-11-27T09:20:35.618,mouse,move,"1523, -36"
2025-11-27T09:20:35.627,mouse,move,"1567, -28"
2025-11-27T09:20:35.634,mouse,move,"1600, -18"
2025-11-27T09:20:35.646,mouse,move,"1625, -11"
2025-11-27T09:20:35.876,mouse,move,"1639, 0"
2025-11-27T09:20:35.880,mouse,move,"1657, 0"
2025-11-27T09:20:35.898,mouse,move,"1670, 3"
2025-11-27T09:20:35.907,mouse,move,"1681, 4"
2025-11-27T09:20:35.917,mouse,move,"1688, 5"
2025-11-27T09:20:35.926,mouse,move,"1690, 6"
2025-11-27T09:20:35.937,mouse,move,"1692, 6"
2025-11-27T09:20:35.948,mouse,move,"1693, 7"
2025-11-27T09:20:35.951,mouse,move,"1693, 7"
2025-11-27T09:20:35.982,mouse,move,"1694, 7"
2025-11-27T09:20:35.997,mouse,move,"1694, 8"
2025-11-27T09:20:36.137,mouse,move,"1694, 8"
2025-11-27T09:20:36.156,mouse,move,"1694, 8"
2025-11-27T09:20:36.174,mouse,move,"1694, 9"
2025-11-27T09:20:36.196,mouse,move,"1693, 10"
2025-11-27T09:20:36.199,mouse,move,"1692, 10"
2025-11-27T09:20:36.214,mouse,move,"1692, 10"
2025-11-27T09:20:36.220,mouse,move,"1691, 11"
2025-11-27T09:20:36.237,mouse,move,"1690, 11"
2025-11-27T09:20:36.245,mouse,move,"1689, 11"
2025-11-27T09:20:36.245,mouse,move,"1688, 12"
2025-11-27T09:20:36.261,mouse,move,"1687, 13"
2025-11-27T09:20:36.277,mouse,move,"1686, 14"
2025-11-27T09:20:36.287,mouse,move,"1684, 14"
2025-11-27T09:20:36.296,mouse,move,"1682, 15"
2025-11-27T09:20:36.306,mouse,move,"1680, 16"
2025-11-27T09:20:36.314,mouse,move,"1679, 16"
2025-11-27T09:20:36.326,mouse,move,"1677, 17"
2025-11-27T09:20:36.330,mouse,move,"1676, 18"
2025-11-27T09:20:36.347,mouse,move,"1675, 18"
2025-11-27T09:20:36.357,mouse,move,"1674, 18"
2025-11-27T09:20:36.367,mouse,move,"1673, 18"
2025-11-27T09:20:36.375,mouse,move,"1673, 18"
2025-11-27T09:20:36.380,mouse,move,"1672, 18"
2025-11-27T09:20:36.398,mouse,move,"1671, 19"
2025-11-27T09:20:36.401,mouse,move,"1671, 19"
2025-11-27T09:20:37.255,mouse,move,"1634, 17"
2025-11-27T09:20:37.263,mouse,move,"1511, 0"
2025-11-27T09:20:37.273,mouse,move,"1361, -26"
2025-11-27T09:20:37.285,mouse,move,"1207, -29"
2025-11-27T09:20:37.296,mouse,move,"1050, -32"
2025-11-27T09:20:37.301,mouse,move,"906, -31"
2025-11-27T09:20:37.314,mouse,move,"775, -29"
2025-11-27T09:20:37.326,mouse,move,"661, -22"
2025-11-27T09:20:37.335,mouse,move,"578, -13"
2025-11-27T09:20:37.342,mouse,move,"530, -4"
2025-11-27T09:20:37.352,mouse,move,"498, -2"
2025-11-27T09:20:37.595,mouse,move,"455, -11"
2025-11-27T09:20:37.600,mouse,move,"410, -13"
2025-11-27T09:20:37.614,mouse,move,"373, -11"
2025-11-27T09:20:37.625,mouse,move,"343, -7"
2025-11-27T09:20:37.625,mouse,move,"318, -9"
2025-11-27T09:20:37.645,mouse,move,"300, -6"
2025-11-27T09:20:37.655,mouse,move,"285, -6"
2025-11-27T09:20:37.664,mouse,move,"274, -5"
2025-11-27T09:20:37.675,mouse,move,"265, -5"
2025-11-27T09:20:37.681,mouse,move,"258, -3"
2025-11-27T09:20:37.695,mouse,move,"253, -2"
2025-11-27T09:20:37.705,mouse,move,"248, -2"
2025-11-27T09:20:37.714,mouse,move,"247, 0"
2025-11-27T09:20:37.719,mouse,move,"246, -1"
2025-11-27T09:20:37.729,mouse,move,"245, 0"
2025-11-27T09:20:37.972,mouse,move,"224, -9"
2025-11-27T09:20:37.985,mouse,move,"171, -29"
2025-11-27T09:20:37.995,mouse,move,"131, -22"
2025-11-27T09:20:38.003,mouse,move,"105, -13"
2025-11-27T09:20:38.014,mouse,move,"94, -5"
2025-11-27T09:20:38.025,mouse,move,"85, -3"
2025-11-27T09:20:38.034,mouse,move,"83, -1"
2025-11-27T09:20:38.045,mouse,move,"81, -1"
2025-11-27T09:20:38.054,mouse,move,"80, 0"
2025-11-27T09:20:38.291,mouse,click,"Button.left pressed at 80, 0"
2025-11-27T09:20:38.491,mouse,click,"Button.left released at 80, 0"
2025-11-27T09:20:38.803,mouse,move,"88, 9"
2025-11-27T09:20:38.813,mouse,move,"121, 48"
2025-11-27T09:20:38.823,mouse,move,"171, 101"
2025-11-27T09:20:38.833,mouse,move,"214, 141"
2025-11-27T09:20:38.842,mouse,move,"243, 168"
2025-11-27T09:20:38.852,mouse,move,"268, 187"
2025-11-27T09:20:38.863,mouse,move,"286, 202"
2025-11-27T09:20:38.872,mouse,move,"298, 213"
2025-11-27T09:20:38.883,mouse,move,"309, 220"
2025-11-27T09:20:38.891,mouse,move,"315, 224"
2025-11-27T09:20:38.900,mouse,move,"318, 227"
2025-11-27T09:20:39.112,mouse,move,"335, 239"
2025-11-27T09:20:39.119,mouse,move,"382, 273"
2025-11-27T09:20:39.133,mouse,move,"426, 303"
2025-11-27T09:20:39.143,mouse,move,"456, 321"
2025-11-27T09:20:39.152,mouse,move,"473, 330"
2025-11-27T09:20:39.160,mouse,move,"485, 337"
2025-11-27T09:20:39.173,mouse,move,"492, 340"
2025-11-27T09:20:39.182,mouse,move,"496, 341"
2025-11-27T09:20:39.193,mouse,move,"498, 342"
2025-11-27T09:20:39.200,mouse,move,"499, 342"
2025-11-27T09:20:39.401,mouse,move,"481, 336"
2025-11-27T09:20:39.412,mouse,move,"423, 317"
2025-11-27T09:20:39.423,mouse,move,"358, 297"
2025-11-27T09:20:39.431,mouse,move,"314, 284"
2025-11-27T09:20:39.441,mouse,move,"283, 274"
2025-11-27T09:20:39.453,mouse,move,"256, 265"
2025-11-27T09:20:39.462,mouse,move,"239, 261"
2025-11-27T09:20:39.470,mouse,move,"224, 258"
2025-11-27T09:20:39.479,mouse,move,"212, 257"
2025-11-27T09:20:39.486,mouse,move,"203, 257"
2025-11-27T09:20:39.499,mouse,move,"198, 257"
2025-11-27T09:20:39.750,mouse,move,"188, 260"
2025-11-27T09:20:39.762,mouse,move,"176, 264"
2025-11-27T09:20:39.771,mouse,move,"164, 266"
2025-11-27T09:20:39.781,mouse,move,"153, 269"
2025-11-27T09:20:39.792,mouse,move,"146, 270"
2025-11-27T09:20:39.800,mouse,move,"141, 271"
2025-11-27T09:20:39.811,mouse,move,"136, 271"
2025-11-27T09:20:39.816,mouse,move,"133, 271"
2025-11-27T09:20:39.832,mouse,move,"130, 271"
2025-11-27T09:20:39.841,mouse,move,"129, 271"
2025-11-27T09:20:39.848,mouse,move,"128, 271"
2025-11-27T09:20:39.856,mouse,move,"127, 271"
2025-11-27T09:20:39.867,mouse,move,"126, 271"
2025-11-27T09:20:39.880,mouse,move,"125, 271"
2025-11-27T09:20:40.102,mouse,click,"Button.left pressed at 125, 271"
2025-11-27T09:20:40.311,mouse,click,"Button.left released at 125, 271"
2025-11-27T09:20:41.208,mouse,move,"141, 275"
2025-11-27T09:20:41.219,mouse,move,"191, 288"
2025-11-27T09:20:41.229,mouse,move,"243, 307"
2025-11-27T09:20:41.234,mouse,move,"291, 323"
2025-11-27T09:20:41.247,mouse,move,"336, 339"
2025-11-27T09:20:41.258,mouse,move,"377, 352"
2025-11-27T09:20:41.268,mouse,move,"420, 360"
2025-11-27T09:20:41.279,mouse,move,"456, 366"
2025-11-27T09:20:41.289,mouse,move,"485, 370"
2025-11-27T09:20:41.294,mouse,move,"501, 371"
2025-11-27T09:20:41.306,mouse,move,"515, 371"
2025-11-27T09:20:41.318,mouse,move,"521, 371"
2025-11-27T09:20:41.818,mouse,move,"533, 370"
2025-11-27T09:20:41.827,mouse,move,"540, 370"
2025-11-27T09:20:41.833,mouse,move,"547, 369"
2025-11-27T09:20:41.848,mouse,move,"551, 369"
2025-11-27T09:20:41.856,mouse,move,"554, 369"
